Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,10uF,C15850
"C2, C3, C4",C_0805,3,100nF,C28233
D1,D_SOD-123,1,1N4148W,
"D2, D3",LED_D5.0mm-4_RGB_Wide_Pins,2,LED_RGAB,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
"J2, J6",PinSocket_1x02_P2.54mm_Vertical,2,Motor,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Button1,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Button2,
J5,PinSocket_1x02_P2.54mm_Vertical,1,Button3,
"Q1, Q2, Q3, Q4",Q_SOT-23,4,AO3400A,C20917
"R1, R2",R_0805,2,4.7kΩ,C17673
"R10, R15, R9",R_0805,3,10kΩ,C17414
"R11, R12, R13, R14",R_0805,4,100Ω,C17408
"R3, R4, R5, R6",R_0805,4,1kΩ,C17513
"R7, R8",R_0805,2,150Ω,C17471
U1,PinSocket_1x08_P2.54mm_Vertical,1,Gyro,
U2,PinSocket_1x04_P2.54mm_Vertical,1,HR,
U3,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,LiDAR,
