Designator,Mid X,Mid Y,Rotation,Layer
C1,164.0,-66.0,0.0,top
C2,158.5,-85.0,0.0,top
C3,164.0,-85.0,0.0,top
C4,170.5,-85.0,0.0,top
D1,164.0,-71.0,0.0,top
D2,189.7385,-98.5,0.0,top
D3,189.7385,-69.0,0.0,top
J1,115.63,-68.27,270.0,top
J2,158.5,-69.23,180.0,top
J3,158.5,-78.77,0.0,top
J4,164.475,-78.795,0.0,top
J5,170.475,-78.795,0.0,top
J6,90.27,-102.5,270.0,top
Q1,171.0,-71.0,0.0,top
Q2,178.06,-71.0,0.0,top
Q3,177.94,-76.05,0.0,top
Q4,177.94,-81.55,0.0,top
R1,141.32,-101.5,0.0,top
R10,115.0,-102.0,0.0,top
R11,182.5,-95.0,0.0,top
R12,182.5,-100.0,0.0,top
R13,184.09,-75.0,0.0,top
R14,184.09,-79.0,0.0,top
R15,108.5,-102.0,0.0,top
R2,135.91,-101.5,0.0,top
R3,129.91,-101.5,0.0,top
R4,102.41,-102.0,0.0,top
R5,98.0,-102.0,0.0,top
R6,125.09,-101.5,0.0,top
R7,183.5,-91.5,0.0,top
R8,182.5,-69.5,0.0,top
R9,119.59,-102.0,0.0,top
U1,168.39,-102.0,270.0,top
U2,179.23,-66.5,270.0,top
U3,189.6,-84.975,270.0,top
